chassis	variant	clan	omni	ton	maxEng	masc	armYaw	LH	RH	RA B	 RA E	RA M	RT B	RT E	RT M	LT B	LT E	LT M	LA B	LA E	LA M	CT B	 CT E	CT M	H B	H E	H M	ecm	jmp	maxJmp	str	amr	bnsAmr	bnsStr	CD	BTC CD	ENY CD	LSR CD	LSR DUR	MSL CD	H	H DIS	BTC H	ENY H	LSR H	MSL H	RNG	BTC RNG	ENY RNG	LSR RNG	MSL RNG	AC2 CD	AC5 CD	AC10 CD	AC20 CD	LBX CD	LBX10 CD	UAC CD	UAC5 CD	UAC20 CD	GAUS CD	MG ROF	STD LSR DUR	ML CD	ML DUR	LL CD	ERL CD	ERL DUR	ERLL CD	PL CD	PL DUR	MPL CD	LPL CD	HL CD	HL DUR	PPC CD	ERPPC CD	AC20 H	UAC2 H	STD LSR H	ML H	LL H	ERL H	ERML H	ERLL H	PL H	MPL H	LPL H	HL H	HML H	PPC H	ERPPC H	AC10 RNG	UAC RNG	MG RNG	STD LSR RNG	ML RNG	LL RNG	ERL RNG	PL RNG	MPL RNG	LPL RNG	PPC RNG	HL RNG	UAC CHC	UAC5 CHC	UAC20 CHC	UAC20 HSL	ML HSL	ERLL HSL	LPL HSL	HL HSL	PPC FAM HSL	PPC HSL	ERPPC HSL	LPPC HSL	RAC JRDD	SRM4 CD	SRM H	SRM2 H
COMMANDO	2D	0	0	25	210	0	1	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	ANY	ANY	24	54	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMMANDO	3A	0	0	25	240	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	ANY	ANY	24	54	0	0	0.1	0	0	0.15	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMMANDO	1B	0	0	25	240	0	1	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	ANY	ANY	24	54	0	0	0.2	0	0.2	0	0	0	0	0.05	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMMANDO	1D	0	0	25	240	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	ANY	ANY	30	75	0	0	0.2	0	0	0.1	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMMANDO	TDK	0	0	25	240	0	1	1	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	ANY	ANY	54	34	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COUGAR	PRIME	1	1	35	175	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	29.7	ENDO	FER	0	42	0.05	0	0	0	0	0.1	0	0.05	0	0.1	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COUGAR	C	1	1	35	175	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	29.7	ENDO	FER	20	32	0.05	0.1	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COUGAR	D	1	1	35	175	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	29.7	ENDO	FER	0	42	0.05	0	0.15	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COUGAR	E	1	1	35	175	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	29.7	ENDO	FER	0	32	0.15	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COUGAR	H	1	1	35	175	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	29.7	29.7	ENDO	FER	0	32	0.1	0	0	0	0	0	0	0.05	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COUGAR	BA	1	1	35	175	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	29.7	ENDO	FER	0	32	0.05	0	0	0	0	0.1	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIRESTARTER	E	0	0	35	295	0	1	0	0	0	2	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	44.5	44.5	ANY	ANY	0	83	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIRESTARTER	S	0	0	35	295	0	1	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	44.5	44.5	ANY	ANY	0	83	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIRESTARTER	A	0	0	35	295	0	1	0	0	0	2	0	0	1	0	0	1	0	0	2	0	0	2	0	0	0	0	0	44.5	44.5	ANY	ANY	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIRESTARTER	H	0	0	35	295	0	1	0	0	0	2	0	1	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	44.5	44.5	ANY	ANY	0	83	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIRESTARTER	K	0	0	35	295	0	1	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	44.5	44.5	ANY	ANY	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIRESTARTER	FS	0	0	35	295	0	1	0	0	2	0	0	0	1	0	0	1	0	2	0	0	0	2	0	0	0	0	0	44.5	44.5	ANY	ANY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLEA	17	0	0	20	170	1	0	0	0	0	2	0	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	ANY	ANY	12	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLEA	15	0	0	20	170	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	ANY	ANY	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLEA	19	0	0	20	170	0	0	0	0	4	0	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	ANY	ANY	12	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLEA	20	0	0	20	170	1	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	ANY	ANY	12	18	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLEA	FA	0	0	20	170	1	0	0	0	3	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	ANY	ANY	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLEA	R5K	0	0	20	170	0	0	0	0	0	2	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	ANY	ANY	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INCUBUS	1	1	0	30	285	0	1	1	1	0	2	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	ANY	ANY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INCUBUS	2	1	0	30	285	0	1	1	1	0	1	0	2	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	ANY	ANY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INCUBUS	3	1	0	30	285	0	1	1	1	0	0	2	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	ANY	ANY	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INCUBUS	4	1	0	30	285	0	1	1	1	0	1	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	ANY	ANY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INCUBUS	5	1	0	30	285	0	1	1	1	0	0	1	2	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	ANY	ANY	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INCUBUS	SA	1	0	30	285	0	1	1	1	0	0	2	2	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	ANY	ANY	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAVELIN	1DN	0	0	30	285	0	1	1	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	69.3	69.3	ANY	ANY	0	15	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAVELIN	1DF	0	0	30	285	0	1	1	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	69.3	69.3	ANY	ANY	0	15	0	0	0.1	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAVELIN	1DP	0	0	30	255	0	1	1	1	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	52	52	ANY	ANY	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAVELIN	11A	0	0	30	255	0	1	1	1	0	3	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	52	52	ANY	ANY	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAVELIN	11B	0	0	30	255	0	1	1	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	ANY	ANY	0	15	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAVELIN	HT	0	0	30	255	0	1	1	1	0	2	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	52	52	ANY	ANY	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAVELIN	11F	0	0	30	255	0	1	1	1	3	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	52	52	ANY	ANY	0	25	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JENNER	D	0	0	35	300	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	37.1	37.1	ANY	ANY	0	11	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JENNER	F	0	0	35	300	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	37.1	37.1	ANY	ANY	0	11	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
