wpn	clan	typ	cF	d	cd	jamChc	jamDur	dur	t	slot	ammo	xAmmo	svo:V	h	mRng	rng	mxRng	hsl	hsl group	spec type
SN-PPC	0	ENY	0	12	6	0	0	0	6	2	0	0	1	11	0	270	630	2	3	1
MRM 10	0	MSL	0	10	4.3	0	0	.5	3.0	2	340	60	10	4.0	0	550	550	4	7	2
MRM 20	0	MSL	0	20	4.3	0	0	.5	7.0	3	340	60	20	6.0	0	550	550	3	7	2
MRM 30	0	MSL	0	30	4.3	0	0	.5	10.0	5	340	60	30	9.5	0	550	550	2	7	2
MRM 40	0	MSL	0	40	4.8	0	0	.5	12.0	7	340	60	40	11.5	0	550	550	1	7	2
SRM 2	0	MSL	0	4.3	2.0	0	0	.0	1.0	1	120	20	2	1.6	0	270	270	6	0	3
SRM 4	0	MSL	0	8.6	3.0	0	0	.0	2.0	1	120	20	4	3.0	0	270	270	4	7	3
SRM 6	0	MSL	0	12.9	3.8	0	0	.0	3.0	2	120	20	6	3.8	0	270	270	4	7	3
C-AC/2	1	BTC	0	2	0.72	0	0	0	5	3	87	16	1	0.5	0	900	1800	0	0	0
C-AC/5	1	BTC	0	5	1.66	0	0	0.1667	7	4	70	12	2	1.4	0	720	1440	3	11	0
C-AC/10	1	BTC	0	10	2.25	0	0	0.1875	10	5	69	12	3	2	0	540	1080	2	12	0
C-AC/20	1	BTC	0	20	4	0	0	0.25	12	9	32	8	4	6	0	360	720	1	9	0
C-LB2-X	1	BTC	0	2	0.72	0	0	0	5	3	87	16	1	0.4	0	900	1800	0	0	0
C-LB5-X	1	BTC	0	5	1.66	0	0	0	7	4	35	6	1	1	0	720	1440	0	0	0
C-LB10-X	1	BTC	0	10	2.25	0	0	0	10	5	23	4	1	2	0	540	1080	0	0	0
C-LB20-X	1	BTC	0	20	4	0	0	0	12	9	8	2	1	6	0	360	720	0	0	0
C-UAC/2	1	BTC	0	4	0.72	0.17	3.5	0	5	2	87	16	2	1.6	0	810	1620	0	0	0
C-UAC/5	1	BTC	0	10	1.66	0.17	6.5	0.1667	7	3	70	12	4	3.32	0	630	1260	3	11	0
C-UAC/10	1	BTC	0	20	2.5	0.17	7.75	0.1875	10	4	69	12	6	7	0	540	1080	2	12	0
C-UAC/20	1	BTC	0	40	4	0.16	7.75	0.25	12	8	32	8	8	14	0	360	720	1	9	0
C-GAUSS	1	BTC	0	17	7	0	0	0.8	12	6	10	2	1	1.2	0	660	1320	2	10	0
C-MG	1	BTC	1	0.1	0.1	0	0	0	0.25	1	2000	400	1	0	0	130	260	0	0	0
C-LMG	1	BTC	1	0.07	0.1	0	0	0	0.25	1	2500	500	1	0	0	250	500	0	0	0
C-HMG	1	BTC	1	0.15008	0.100053	0	0	0	0.5	1	1250	200	1	0	0	100	200	0	0	0
C-HSL	1	ENY	0	6.5	4	0	0	1.2	0.5	1	0	0	1	3.75	0	115	230	5	13	0
C-HML	1	ENY	0	10	5.5	0	0	1.45	1	2	0	0	1	8	0	270	540	4	13	0
C-HLL	1	ENY	0	16	5.75	0	0	1.55	4	3	0	0	1	16	0	450	900	2	8	0
C-ERMCL	1	ENY	0	2.4	2.25	0	0	0.75	0.25	1	0	0	1	1.15	0	150	300	10	0	0
C-ERSL	1	ENY	0	5	3.5	0	0	1.1	0.5	1	0	0	1	3.5	0	200	400	6	13	0
C-ERML	1	ENY	0	6.5	4.5	0	0	1.25	1	1	0	0	1	6.3	0	400	800	6	13	0
C-ERLL	1	ENY	0	10.75	4	0	0	1.35	4	1	0	0	1	11.8	0	740	1480	2	8	0
C-MCPL	1	ENY	0	2.7	1.6	0	0	0.5	0.5	1	0	0	1	1.2	0	90	180	10	0	0
C-SPL	1	ENY	0	4	1.9	0	0	0.6	1	1	0	0	1	2.05	0	165	297	6	13	0
C-MPL	1	ENY	0	6.5	3	0	0	0.9	2	1	0	0	1	4.75	0	330	480	6	13	0
C-LPL	1	ENY	0	12	3.2	0	0	1.09	6	2	0	0	1	10	0	600	840	2	8	0
C-ERPPC	1	ENY	0	15	7	0	0	0	6	2	0	0	1	15.75	0	810	1620	2	10	1
C-SRM 2	1	MSL	0	4	2.0	0	0	.0	.5	1	120	20	2	1.6	0	270	270	6	0	3
C-SRM 4	1	MSL	0	8	3.0	0	0	.0	1.0	1	120	20	4	3.0	0	270	270	4	14	3
C-SRM 6	1	MSL	0	12	3.8	0	0	.0	1.5	1	120	20	6	3.8	0	270	270	4	14	3
